Run	mst	cse	cbs	cyd	metC	cysM	cysK	malY	yhaO	yhaM	decR	iscS	fn0625	fn1055	fn1220	fn1419	mgl	tnaA	dsrA	dsrB
SRR848936	56	84	1	10	0	108	187	72	2	53	1	489	27	2	49	73	288	32	20	12
SRR848937	2	143	38	5	6	55	576	131	11	194	7	346	73	25	119	202	384	148	410	345
SRR848938	97	190	21	64	60	39	378	148	37	131	0	542	15	1	28	236	117	174	148	32
SRR848939	6	357	97	11	32	160	1319	233	13	343	3	540	195	80	150	410	670	466	109	85
SRR848940	2	125	35	12	23	42	471	73	25	240	10	217	106	29	74	85	284	37	95	102
SRR848941	112	144	41	0	1	64	513	109	10	94	0	555	97	1	23	160	265	161	107	16
SRR848942	1	5	4	1	2	9	45	2	6	5	0	26	7	3	2	6	18	40	17	21
SRR848943	35	38	7	8	9	15	205	38	0	56	2	249	13	18	20	141	370	103	159	177
SRR848944	1	205	69	34	73	102	976	117	3	253	1	582	114	113	186	247	553	83	110	142
SRR848945	3	4	2	1	2	4	42	8	0	18	0	16	7	0	15	9	26	21	48	23
SRR848946	0	23	14	4	6	20	140	39	20	71	0	115	25	6	20	86	144	68	206	127
SRR848947	1	25	4	0	1	10	83	9	1	21	0	60	13	5	14	35	72	34	28	21
SRR848948	75	203	85	100	149	120	692	248	26	507	27	512	174	42	79	176	341	104	79	162
SRR848949	1	39	4	12	0	12	74	18	0	42	0	46	23	5	16	87	208	56	95	93
SRR848950	3	18	3	2	0	4	28	5	0	17	0	11	6	0	0	14	24	7	43	39
SRR848951	1	19	5	5	2	17	109	24	0	46	1	50	17	7	12	44	63	113	248	204
SRR848952	1	61	25	2	0	4	56	62	20	46	0	70	9	3	2	25	14	62	25	5
SRR848953	0	3	13	0	4	8	70	5	3	13	0	47	8	3	5	18	19	17	58	44
SRR848954	0	28	11	3	9	14	265	11	0	23	0	72	6	7	27	20	45	33	14	10
SRR848955	1	17	3	0	2	1	42	8	1	29	0	35	9	3	4	23	50	614	12	6
SRR848956	0	64	27	3	0	26	478	20	8	70	5	143	19	34	24	58	148	82	108	94
SRR848957	0	36	18	1	2	7	160	13	0	29	0	51	14	16	33	27	59	44	130	85
SRR848958	3	11	3	5	8	11	49	9	1	27	1	46	12	6	2	29	34	86	60	41
SRR848959	0	415	515	6	33	347	5378	44	6	225	2	232	39	373	681	563	792	18	43	65
SRR848960	0	2	9	0	0	1	33	3	0	8	0	11	1	0	1	5	7	8	4	6
SRR848961	1	17	2	0	0	2	79	16	0	27	0	29	8	1	2	37	37	23	29	58
SRR848962	0	20	14	2	0	4	86	10	1	20	0	66	5	27	10	41	84	20	18	11
SRR848963	0	11	1	2	0	8	57	3	0	11	4	41	4	1	5	12	35	32	31	48
SRR848964	0	258	145	6	35	156	2719	46	3	91	3	425	57	79	239	180	396	47	125	65
SRR848965	0	36	16	6	5	16	194	28	1	69	1	187	17	12	22	58	92	46	53	42
SRR848966	1	113	31	10	1	33	297	48	3	108	6	279	40	15	49	100	215	91	239	154
SRR848967	0	5	5	3	0	8	86	10	0	24	2	21	18	3	15	18	27	58	47	34
SRR848968	1	35	17	4	0	19	165	37	0	38	3	108	18	7	11	122	164	64	131	123
SRR848969	0	394	390	2	33	244	3112	22	2	93	1	182	28	239	536	472	665	12	20	36
SRR848970	1	126	34	9	4	25	389	73	7	130	2	380	43	17	52	146	302	227	223	211
SRR848971	1	58	14	2	2	12	152	31	2	95	6	143	49	5	12	107	216	223	94	80
SRR848972	0	29	6	0	6	27	115	15	0	37	0	153	18	6	18	51	86	45	3	16
SRR848973	1	38	3	4	3	3	80	15	2	27	1	100	22	6	12	34	67	44	85	80
SRR848974	3	7	0	0	3	2	23	3	2	19	0	7	6	3	0	9	18	19	0	0
SRR848975	9	2	0	0	6	2	4	7	3	5	3	13	0	1	6	1	13	8	8	0
SRR848976	0	37	20	6	23	39	188	26	17	42	5	82	11	4	15	43	59	35	4	4
SRR848977	44	64	10	20	63	37	159	37	14	33	4	127	24	25	38	123	194	132	276	115
SRR848978	1	10	3	0	1	3	40	4	0	13	0	53	15	2	9	15	29	295	1	7
SRR848979	0	86	15	1	1	13	203	28	3	26	4	122	34	10	38	61	110	59	142	108
SRR848980	1	7	1	3	0	1	68	8	0	28	2	25	6	3	2	61	66	61	18	11
SRR848981	2	14	3	0	2	5	57	11	0	3	3	63	6	2	6	30	54	45	16	7
SRR848982	0	8	0	0	3	0	18	2	4	3	0	21	1	0	3	6	15	32	14	6
SRR848983	26	92	48	16	21	57	472	127	74	184	15	170	57	30	66	105	221	218	10	34
SRR848984	1	13	1	1	0	8	123	6	1	27	0	84	9	6	14	101	143	39	34	16
SRR848985	2	14	6	3	2	4	46	2	5	4	1	67	9	5	8	5	24	20	31	35
SRR848986	12	10	11	20	16	16	223	51	18	47	1	77	20	3	21	33	86	55	2	2
SRR848987	6	32	9	7	9	34	276	23	5	32	0	742	20	12	30	96	180	65	211	237
SRR848988	3	21	17	2	1	23	95	6	7	15	0	125	4	6	8	14	40	5	132	189
SRR848989	0	1	0	2	1	0	12	0	0	6	0	15	0	0	0	0	7	3	0	2
SRR848990	1	13	4	2	0	1	29	5	4	5	0	53	10	5	7	10	21	11	16	19
SRR848991	4	27	8	8	6	13	155	15	6	41	7	132	21	7	14	21	58	70	52	54
SRR848992	1	5	3	2	0	3	32	1	0	13	0	32	4	1	12	12	19	28	23	4
SRR848993	2	2	1	0	2	1	16	0	0	5	0	3	4	0	1	5	6	2	25	60
SRR848994	1	9	6	2	1	3	27	2	1	17	1	19	5	0	2	3	17	8	43	41
